user_id,first_name,last_name,membership_tier,lifetime_miles_earned,current_miles_balance,amazing_lounges_member
U83118,Irene,Yelchin,Basic,66924,58193,0
U74709,Marion,Hiranandani,Basic,72887,72887,0
U82956,Padraic,Ingalls,Basic,42970,42337,0
U93603,Edwin,McGraw,Basic,19186,19186,0
U35899,Cyrus,Gaylord,Basic,66378,61525,0
U24523,Alice,dePaola,Elite,113965,16696,0
U47675,Constance,Black,Basic,17138,1139,0
U11503,Adam,Aly,Basic,65338,65338,0
U77528,Mari,Bowen,Basic,39311,3580,0
U80518,Catherine,Kalashnikoff,Elite,107111,35339,1
U55809,Kevin,Sorensen,Basic,5034,5034,0
U54540,Louis,Hamilton,Basic,54720,54213,0
U74440,Steve,Craft,Basic,16855,1558,0
U73076,Beverly,Nic,Basic,18410,15810,1
U40592,Mildred,Gurko,Basic,53407,4954,0
U28869,Ian,Phillip,Basic,4487,368,0
U27601,Shannon,Ryrie,Basic,46637,30733,0
U58928,Ralph,Meigs,Basic,2972,1208,0
U54037,Rita,Finger,Basic,3130,2978,1
U94788,Ashley,Jarrell,Basic,1213,85,0
U14980,Vince,Gould,Basic,29195,7431,1
U63460,Elizabeth,Reynolds,Basic,31472,16612,0
U91537,Jacqueline,Dejong,Basic,47771,18174,0
U56080,Kirby,Lincoln,Basic,65819,46487,0
U26108,Louise,Members,Basic,20514,10954,0
U63129,Stephen,Kalashnikoff,Basic,68370,27946,0
U92338,Sylvia,Moon,Basic,72771,6814,0
U55928,Gary,Freedman,Basic,52642,52642,0
U82606,Idwal,Rae,Basic,15090,9111,0
U32244,Carole,Shannon,Basic,4599,1218,0
U51382,Lois,Roe,Elite,101516,15992,1
U54251,Valenti,Daugherty,Basic,43055,27228,0
U86499,Megan,George,Basic,14684,14684,0
U44068,Lloyd,Miles,Basic,17296,17296,0
U35559,Jason,Ingram,Basic,51504,13145,0
U40738,Joseph,Schoenherr,Basic,29839,29839,0
U99378,Idwal,Rankin,Basic,74418,13098,0
U40185,Charles,Wolk,Basic,72429,45812,0
U19279,Sarah,Sawyer,Basic,26331,26331,0
U47904,Nora,Wojciechowska,Basic,47532,21143,0
U90194,Shannon,Stead,Basic,33486,7666,0
U67391,Miska,Lai,Basic,46044,38890,0
U80726,Christine,Lide,Basic,20104,20104,1
U30133,Rachel,Lincoln,Basic,59262,46751,0
U43000,Arna,Louise,Basic,1260,75,0
U46903,Carol,Lewis,Basic,43698,18516,0
U58310,Renée,Adams,Basic,45813,44159,0
U57227,Karen,Yates,Basic,31774,21899,0
U71522,Polly,Bond,Basic,51290,19699,0
U72537,Natalie,Hiranandani,Basic,61057,43850,0
U76157,Nancy,Preus,Basic,55832,2662,0
U45416,Ian,Lincoln,Basic,3584,3025,0
U40412,Kathryn,Ingalls,Basic,47922,14735,0
U43853,Laurence,Steig,Basic,5492,4836,0
U65415,Lauren,James,Basic,18861,18861,1
U60890,Monica,Coblentz,Elite,97826,97826,0
U51317,Will,Amy,Basic,69671,69671,0
U83065,Wanda,White,Basic,73499,73499,0
U92379,Timothy,Lofting,Elite,101510,101510,1
U16211,Joseph,Wolk,Basic,57673,49325,0
U67219,Jacqueline,Watson,Basic,56220,10084,1
U32266,Sterling,Schaefer,Elite,95296,95296,1
U53518,Caroline,Rourke,Basic,1003,916,1
U52818,Beverly,Jamieson,Basic,10702,2614,0
U13133,Gail,Davis,Basic,5111,5111,0
U38937,Rebecca,Law,Basic,30128,30128,0
U41335,Linda,Taylor,Basic,54978,54978,0
U75981,Christine,Lord,Basic,26700,15880,0
U72484,Jason,Jarvis,Basic,939,939,0
U89691,David,Treffinger,Basic,48753,7955,0
U16697,Mari,Gág,Basic,73167,73167,0
U30371,Will,DeJong,Basic,54530,54530,0
U24782,Phil,Gipson,Basic,42190,15781,0
U32497,Rachel,Sachar,Basic,12528,4183,0
U37015,Thanhha,Brooks,Basic,54472,44330,0
U29983,Walter,Forbes,Basic,17467,17467,0
U34299,Derrick,Carole,Basic,71972,71972,0
U44706,Bernard,Freedman,Basic,47661,27636,0
U82990,Allan,Angelo,Basic,35505,3022,0
U12338,Monica,Finger,Basic,60022,60022,0
U25368,Arthur,Bowie,Basic,55054,5453,0
U44711,Eleanor,Allee,Basic,28747,14476,0
U39858,Olivia,Turnage,Basic,21099,20810,0
U90876,Scott,Roe,Basic,44193,44193,0
U35585,Adam,Entrada,Basic,55034,22393,0
U20242,Christian,Bashevis,Basic,5834,5834,0
U99070,Norma,Lauber,Basic,20311,16374,0
U57348,Betsy,Vanderpool,Basic,2455,2225,0
U14833,Audrey,DeJong,Basic,46341,46341,0
U49048,Margi,Reynolds,Basic,49550,31131,1
U66464,Victoria,Fleischman,Basic,9031,7331,0
U34574,Johnson,Soontornvat,Basic,69607,67820,0
U52634,Christina,Campbell,Basic,32539,32539,0
U53539,Francis,Lauber,Basic,28035,12069,0
U64308,Carolyn,Gág,Basic,8288,8288,0
U65930,Meindert,Sidman,Basic,25060,1468,0
U65433,Michele,Campbell,Basic,13842,100,0
U35928,Clare,Yep,Basic,54842,54842,0
U61339,Russell,Allen,Basic,8552,8552,0
U36072,Jamake,Applegate,Basic,57596,57596,0
U49849,Lauren,Jewett,Elite,98337,98337,1
U32564,Vince,Hamilton,Basic,3799,1767,0
U41821,Mabel,Bennett,Basic,5973,2295,0
U82260,Jeanetter,Kadohata,Elite,95976,5041,0
U97935,Margi,Larson,Basic,34149,8158,0
U42697,Paula,MacLachlan,Basic,42825,42825,0
U84908,Neil,Hubbard,Basic,16712,16712,0
U22302,Ludwig,Reilly,Basic,10180,3355,0
U53479,Louis,Huchet,Basic,70925,51463,0
U78112,Allan,Lenski,Basic,2521,2521,0
U60103,James,Jewett,Basic,68587,68587,0
U78937,James,McKissack,Basic,53149,3440,0
U24871,Marilyn,Gantos,Basic,7531,1588,0
U96195,Natalie,Entrada,Basic,8489,8489,0
U27520,Genevieve,Rae,Basic,24220,24220,0
U25535,Alida,Gold,Elite,87555,21775,0
U53840,Fred,Fox,Basic,21805,21805,0
U98433,Ester,White,Elite,85034,85034,0
U21247,Cynthia,Coblentz,Basic,64363,64363,0
U78087,Padraic,Kelly,Basic,37863,37863,0
U80534,Arna,Henkes,Basic,65554,59857,0
U75173,Thanhha,Siegal,Basic,10732,10732,0
U92812,Avi,Craighead,Basic,19209,765,0
U36163,Jamake,Highwater,Basic,55563,650,0
U63070,Monica,Armstrong,Basic,17897,17819,0
U58363,Johnson,Caudill,Basic,36465,1030,0
U82037,Annie,Wolk,Basic,37323,37323,0
U98587,Bernard,Kelly,Basic,29795,29795,0
U68221,Constance,Hiranandani,Basic,41416,884,0
U33314,Gail,Rankin,Basic,70338,70338,0
U78854,Arna,Stolz,Basic,32579,32579,0
U42434,Margarita,Engle,Basic,74613,40439,0
U54559,Jasmine,Bontemps,Basic,32381,4933,0
U31382,Elsie,Carson,Basic,54302,28026,0
U69671,Stephen,Sawyer,Basic,23054,1586,0
U88686,Adam,Brubaker,Basic,3509,3509,0
U58249,Bette,Coblentz,Basic,62812,6709,0
U16598,Jamake,Rourke,Basic,45800,45800,0
U45805,Carl,Parrish,Basic,24381,24381,0
U24486,Adam,James,Basic,59705,59705,0
U10045,Zilpha,Yelchin,Basic,71596,51944,0
U74092,Paula,Ryrie,Basic,40454,40454,0
U50670,Francis,Courlander,Basic,50074,9793,0
U38252,Walter,George,Basic,9971,1139,0
U30088,Gail,Bell,Basic,59080,30423,0
U66185,Ralph,Ingram,Basic,32509,17682,0
U71028,Phil,Sauer,Basic,4987,879,0
U65245,Virginia,Ullman,Basic,38518,33432,0
U30525,Karen,Dane,Basic,46080,46080,0
U36715,Sylvia,Leigh,Basic,53390,53390,0
U50727,Eugene,Hurd,Basic,39307,39307,0
U68826,Ester,Bryan,Basic,14747,14747,0
U71242,Phyllis,Creech,Basic,52690,31775,0
U19002,Jean,Law,Basic,36193,36193,0
U43420,Rebecca,Fenner,Basic,52829,44292,0
U82436,Louis,Entrada,Basic,33663,33663,0
U57745,Hendrik,Sidman,Basic,43745,610,1
U16608,Louis,Fleischman,Basic,17326,10019,0
U98475,George,Bennett,Basic,73644,32229,1
U11449,Susan,Bianco,Basic,48856,43427,1
U94181,Christine,Hallock,Basic,60491,60491,0
U91881,Kevin,Patron,Basic,6176,4526,0
U53093,Fein,Lofting,Basic,42067,4714,0
U62008,Carl,Soontornvat,Basic,30942,10907,0
U49822,Johanna,Lofting,Basic,25668,23960,0
U90854,Vince,Leigh,Basic,62475,62475,1
U37899,Doris,Cloyd,Basic,65268,65268,0
U24076,Agnes,Treffinger,Basic,25916,971,1
U76218,James,Parrish,Basic,64181,33165,0
U30107,Laurence,Seredy,Elite,124050,124050,1
U40626,Ian,Jarvis,Basic,72079,9975,0
U11375,Hilda,Swift,Basic,32546,7526,0
U37740,Paula,Timberlake,Basic,17488,17190,1
U95167,Renée,McKissack,Basic,25579,25579,0
U66929,Kathi,Craft,Basic,20270,3885,0
U44243,Jack,MacLachlan,Basic,60065,32371,0
U88853,Betsy,Jones,Elite,120798,120798,1
U32194,Monica,Enright,Basic,14753,10310,0
U13361,Laura,Jewett,Basic,46476,46476,1
U29213,Sharon,New,Basic,23979,2917,0
U28609,Kevin,Willard,Basic,36651,3878,0
U60418,Mary,Seredy,Basic,43612,4583,1
U98877,Emily,Reilly,Basic,12771,4673,0
U65419,Avi,Brooks,Basic,57707,57707,0
U66766,Katherine,Dean,Basic,60926,59207,0
U49789,Marilyn,Crannell,Basic,17073,1576,0
U21769,Allan,Hays,Basic,35640,15211,0
U23103,Agnes,Kalashnikoff,Basic,67977,56667,0
U49882,Alida,Amy,Basic,5140,1180,0
U14793,Edwin,Rourke,Basic,4688,1351,0
U86759,Olivia,Creech,Basic,39366,39366,0
U47064,Lauren,Cloyd,Basic,51858,2804,0
U25737,Olivia,Lord,Basic,17261,17099,1
U51363,Jennie,North,Basic,28856,22660,0
U89966,Elizabeth,Philbrick,Basic,36801,36801,0
U96548,Sulamith,Gold,Basic,50683,47151,1
U44117,Ingrid,Best,Basic,19975,2948,0
U25696,Anna,Stead,Basic,48955,48955,0
U85405,Sulamith,Eaton,Basic,48953,21699,0
U91502,Shannon,Brittain,Basic,71894,71894,0
U52719,Irene,Parrish,Basic,61297,61297,0
U65595,Bette,Hiaasen,Basic,54052,43162,0
U10865,Stephen,Sidman,Basic,68688,49035,0
U62703,Mabel,Entrada,Basic,1337,1337,0
U42665,Linda,Applegate,Basic,37916,5631,0
U99507,Jim,Estes,Basic,7442,5502,0
U96065,Genevieve,Yelchin,Basic,56858,48896,0
U90877,Ashley,Bauer,Basic,11948,3429,0
U81319,Padraic,L'Engle,Elite,105317,39693,0
U69595,Richard,Hesse,Basic,36018,25653,0
U47750,Mildred,Burglon,Basic,57369,22667,0
U87850,Mary,Sherwin,Basic,16924,16650,1
